Cycle,Radial Frequency Bin,Power
7,39,0.00023545949178903485
7,40,0.00018519130581833194
7,41,0.00016283262032588158
7,42,0.00015196210234731647
7,43,0.00011689207507197124
7,44,0.00010545036222457697
7,45,9.010462929109538e-05
7,46,8.422635598630393e-05
7,47,7.47716844319666e-05
7,48,5.9208697286403496e-05
7,49,5.7325370489420045e-05
7,50,4.871593977416141e-05
7,51,4.6642926834121e-05
7,52,4.048651195181367e-05
7,53,3.371777297132873e-05
7,54,3.400911656931297e-05
7,55,2.8544615048497914e-05
7,56,2.7486696064767908e-05
7,57,2.3664527628060552e-05
7,58,2.1018732020730752e-05
7,59,2.1576141096784655e-05
7,60,1.8193414074404844e-05
7,61,1.5794613684660253e-05
7,62,1.525723060934103e-05
7,63,1.4144629374525097e-05
7,64,2.728037116389857e-06
7,65,2.1357497086515133e-07
7,66,2.773330728281472e-08
7,67,5.6396805048927976e-09
7,68,2.113684699934857e-09
7,69,1.5387441805282723e-09
7,70,1.2858543349609114e-09
7,71,1.1487361585835952e-09
7,72,1.0096368379498583e-09
7,73,9.211496194766059e-10
7,74,8.276412488979218e-10
7,75,7.613666788180125e-10
7,76,7.026605541417022e-10
7,77,6.371438924148463e-10
7,78,5.974507359532498e-10
7,79,5.510647812043903e-10
7,80,5.131072812858468e-10
7,81,4.838676082020056e-10
7,82,4.5032955819511273e-10
7,83,4.255349930669837e-10
7,84,3.974444588088262e-10
7,85,3.743188519423568e-10
7,86,3.5603168143359215e-10
7,87,3.3950972014818955e-10
7,88,3.2386095960483255e-10
7,89,3.0975208320168533e-10
8,0,3412352.7501168116
8,1,1814956.3432217052
8,2,655269.1872543148
8,3,146435.85729394556
8,4,61632.69265392812
8,5,25670.64087420128
8,6,14318.493071617602
8,7,6710.80292403479
8,8,3252.3174702532096
8,9,1910.322241748533
8,10,843.8686952284692
8,11,487.3172971258133
8,12,233.43050291356175
8,13,123.66764120084585
8,14,54.849812748216955
8,15,29.853659913685668
8,16,13.048547806206024
8,17,6.602338004075764
8,18,3.3763997990826824
8,19,1.4721474141500368
8,20,0.5886891013759215
8,21,0.251151588812978
8,22,0.10390506945822825
8,23,0.04538107246921404
8,24,0.019568346604081074
8,25,0.0074553342187168815
8,26,0.003097259239002646
8,27,0.0012502251478542729
8,28,0.0005835990647577162
8,29,0.0002908847650244602
8,30,0.00019810221158046384
8,31,0.00012082701431259451
8,32,9.055401610980528e-05
8,33,7.299444494277224e-05
8,34,5.880576530177743e-05
8,35,5.089829526140479e-05
8,36,3.716212364641784e-05
8,37,3.296762718335434e-05
8,38,2.7073252478539306e-05
8,39,2.4691375217387432e-05
8,40,1.9262646402145687e-05
8,41,1.6785892099272257e-05
8,42,1.549505942084822e-05
8,43,1.1877706361340604e-05
8,44,1.06706441494888e-05
8,45,9.01559160478569e-06
8,46,8.375906729263132e-06
8,47,7.3921679033011146e-06
8,48,5.821485100638586e-06
8,49,5.60839478477444e-06
8,50,4.741244089273512e-06
8,51,4.518039402378674e-06
8,52,3.903641655921654e-06
8,53,3.2378826071492456e-06
8,54,3.252338316002488e-06
8,55,2.721032594407257e-06
8,56,2.6259676975676865e-06
8,57,2.236664060208353e-06
8,58,1.9799847586950707e-06
8,59,2.025805356106726e-06
8,60,1.7032629047534972e-06
8,61,1.4764298586978332e-06
8,62,1.4200367951568177e-06
8,63,1.3129681927336328e-06
8,64,2.7565182541863504e-07
8,65,2.368367571351643e-08
8,66,3.739257172552161e-09
8,67,1.8894645916882183e-09
8,68,1.655081423257131e-09
8,69,1.5182677373483783e-09
8,70,1.3135253467367068e-09
8,71,1.187923368253862e-09
8,72,1.0556875064698828e-09
8,73,9.670510849233246e-10
8,74,8.745007286710432e-10
8,75,8.067282395049841e-10
8,76,7.461516380127704e-10
8,77,6.79947600387363e-10
8,78,6.375048688320346e-10
8,79,5.892799069567558e-10
8,80,5.493061936167576e-10
8,81,5.180745475891252e-10
8,82,4.827869511758295e-10
8,83,4.5593838112416534e-10
8,84,4.259957502528905e-10
8,85,4.0105032857301035e-10
8,86,3.8134059930475333e-10
8,87,3.633881283411108e-10
8,88,3.464720897737274e-10
8,89,3.31099703770649e-10
9,0,8042233.559352465
9,1,3707192.5666921316
9,2,518240.74256681383
9,3,147554.2722317961
9,4,45275.5473696633
9,5,26387.52739876638
9,6,11189.123100492698
9,7,5525.445016440918
9,8,2707.0517265426465
9,9,1564.5337273252073
9,10,785.6303866520055
9,11,385.3466138643019
9,12,202.25952959399856
9,13,106.9486058333082
9,14,54.15300529810586
9,15,26.223386335894592
9,16,12.491885960843833
9,17,6.292297125929196
9,18,3.2730424176986532
9,19,1.5899371496345127
9,20,0.8400377628110028
9,21,0.47279682250517974
9,22,0.26931685546604217
9,23,0.1539746344145551
9,24,0.08931930575004345
9,25,0.0675835320498343
9,26,0.04668033493230544
9,27,0.03332192504798472
9,28,0.026786535770504695
9,29,0.019945140198484767
9,30,0.01660695391694118
9,31,0.011574543647152536
9,32,0.009524913895128374
9,33,0.007977913788313102
9,34,0.0064633549747043825
9,35,0.005591978208804098
9,36,0.004089303554308649
9,37,0.003606839865117082
9,38,0.002996971863318694
9,39,0.0027352599753141544
9,40,0.0021349971799212736
9,41,0.001863483715165449
9,42,0.0017266248341631105
9,43,0.001320926311466762
9,44,0.0011857377072770985
9,45,0.001007712236891975
9,46,0.0009379084664740227
9,47,0.0008293343077289226
9,48,0.0006543339002370203
9,49,0.0006315119693622648
9,50,0.0005350265045465799
9,51,0.000510889030268405
9,52,0.00044237140587073204
9,53,0.0003675962331510187
9,54,0.0003700566642404447
9,55,0.0003100597502033703
9,56,0.00029775111406161304
9,57,0.0002563057265704694
9,58,0.00022738776291808535
9,59,0.00023319583477611326
9,60,0.00019647392046252945
9,61,0.00017044031875323727
9,62,0.00016457528755337518
9,63,0.0001525313886559203
9,64,2.9444143511632646e-05
9,65,2.2808163730065893e-06
9,66,2.7075303535481825e-07
9,67,3.8663752299963644e-08
9,68,4.307480659763248e-09
9,69,4.387453154533649e-10
9,70,8.899529347181419e-11
9,71,3.849155144245174e-11
9,72,3.140858014603106e-11
9,73,2.8269484046067116e-11
9,74,2.542583307365121e-11
9,75,2.3404401242130925e-11
9,76,2.1602523465841067e-11
9,77,1.9613608009114156e-11
9,78,1.839469096660896e-11
9,79,1.6978655796701474e-11
9,80,1.5815157734063905e-11
9,81,1.4918444855692703e-11
9,82,1.3890456137603073e-11
9,83,1.312703508745773e-11
9,84,1.2263087377213559e-11
9,85,1.1550231324122316e-11
9,86,1.0985203955562298e-11
9,87,1.0475913571641233e-11
9,88,9.992518431938977e-12
9,89,9.558429003521825e-12
10,0,7564870.389726851
10,1,3382249.5671136356
10,2,416470.58904358966
10,3,162697.13666245434
10,4,54506.921477901145
10,5,26070.600081402565
10,6,14221.954893023845
10,7,6332.905433173735
10,8,2963.4178144557095
10,9,1472.666338644122
10,10,808.5195572272137
10,11,484.212631060337
10,12,252.590279605566
10,13,121.4819446242286
10,14,61.888693791955035
10,15,30.30490707403845
10,16,16.153078164818805
10,17,10.034814311118966
10,18,4.9620441628968
10,19,2.9820402374667476
10,20,1.4927813189731602
10,21,0.8525475113696815
10,22,0.5491208129433257
10,23,0.34825014660629255
10,24,0.21442406984895082
10,25,0.1615796518986487
10,26,0.11471462796258576
10,27,0.08347022788006589
10,28,0.06663794486261232
10,29,0.050313690800364214
10,30,0.04293991076555037
10,31,0.030199026010704302
10,32,0.02494280181357475
10,33,0.021067284554988706
10,34,0.01718859375361749
10,35,0.014959817830288708
10,36,0.011002653629052651
10,37,0.009765344385532697
10,38,0.008149990570479444
10,39,0.007470664117026499
10,40,0.0058548907426121365
10,41,0.0051293829573765375
10,42,0.004770924346023801
10,43,0.0036612259265238127
10,44,0.0032974515715082746
10,45,0.0028094090943547013
10,46,0.0026216412166444165
10,47,0.0023238558430131455
10,48,0.0018377491577225716
10,49,0.0017775683227850437
10,50,0.0015090005438187274
